Critic Name,Review,Rating
radaljmarta,"I genuinely felt disguist watching this movie (and not in connection with the plot, but the way the dialogues were written and how the actors acted). Even though I respect Blake Lively, this role was a failure, it simply did not fit her as an actress.I did not know anything about the movie but simply looked at the rating on Imbd and became interested when I saw there was a rating of 7.2. I did not pay attention that it was a small sample of people (or maybe people genuinely liked it and i do not understand it). On several occasions I had the urge to get out of the theatre, but gave it a chance, wish I did not because I find it difficult to find a good aspect of the movie (except maybe message, but it still was dealt with in a very shallow way).",1
steveinadelaide,"With the rise of domestic violence to a crisis level in our society, it is great to see a movie on our screens that deals with this issue. It Ends With Us, which has been adapted from the Colleen Hoover novel, is a poignant drama that explores the complexities of love, trauma, and resilience. We follow Lily Bloom after she moves to Boston to start a new life in the florist business. She meets a charming neurosurgeon, Ryle Kincaid, and quickly becomes romantically involved. As their relationship develops, Lily must deal with reminders of her troubled past and the possibility that her new relationship will lead to toxic patterns in the future.There are some strong performances in It Ends With Us. Blake Lively (The Age of Adeline and The Shadows), along with the rest of the cast, give us characters who are complex and emotionally charged. For me, Lively stands out and I particularly warmed to the character of Allysa, a friend and colleague who works with Lily in the florist shop, played by Jenny Slate. She brought some much-needed vitality and humour to the story.I do think that there could have been more development of Ryle's background. Lily's complex portrayal of a survivor grappling with trust issues is very good, but Ryle's character arc feels somewhat underdeveloped. I think this is a shame given that there has been little focus in our society on the motivations and histories of males who perpetrate violence. It Ends With Us does, though, provide some insight into an event in Ryle's history, which I will let you discover if you watch the movie.It Ends With Us tackles some very universal issues: love, loss, the search for identity, and, of course, domestic violence. The domestic violence issue is dealt with much more gently than it might have been, which may be okay given that there will probably be audience members who have, or are experiencing, domestic violence in their own lives. The cinematography visually reflects the emotional intensity of the story without being gratuitous in its portrayal of violence.If you regularly watch romantic dramas, you may find that some of the plot elements are very familiar. At over two hours, the movie does feel a bit too long, and a tighter narrative focus would have created a more intense experience, in my view. The emotional intensity sometimes borders on excessive melodrama, which may alienate some viewers.It Ends With Us is, in some ways, constrained by its rating, which recommends a lower-aged audience. But at least this allows for younger teens to be able to see a movie that is focused on an issue that is important for the age group in terms of their current and future relationships. It is a well-intentioned film that raises important issues, but its shortcomings prevent it from reaching its full potential. Nonetheless, it serves as a starting point for conversations about domestic violence and its devastating consequences. While It Ends With Us effectively addresses the pressing issue of domestic violence, its melodramatic tendencies and familiar plot hinder its potential to be a truly impactful film.",3.5
albaghliz,"This movie reminded me a lot of the classic romantic dramas from the 90s/2000s I loved that it took its time, I loved that it wasn't realistic but full of coincidences which made it charming to watch. I appreciate how it is a work of art fiction and we need that break from reality just and just enjoy it!The production, fashion design and over all look was very aesthetically pleasing. All of them looked absolutely stunning!But the real highlight of it all was the casting! Meer perfection! They all fit so well together, their energy and performance was what made it a 9 in my opinion!The twist at the ending of the title was the reason it got the 10 ! Made my heart gush! Loved it and would watch it again.",5
Ayupgeeza,"The cornerstone of this movie is domestic abuse, which is undoubtedly a challenging subject to cover in any depth in a couple of hours. It's all too easy to slip into stereotypes, to portray battered women as universally weak and vulnerable, and thus fail to penetrate the depths of a highly complex and nuanced subject.The film consequently deserves considerable credit for attempting to go beyond those paradigms, by trying to convey to the viewer how an otherwise strong and intelligent woman might find herself in an abusive relationship. This is undoubtedly a Hurculean task: achievable in a novel, perhaps, where every interaction, every moment, every character and every emotion can be painted in exquisite detail; but in a comparatively brief film it is almost impossible to address in any depth.Consequently, it's no surprise that the film fails to achieve its goals. Justin Baldoni's Ryle is creepy and disturbing more or less from the outset, and Blake Lively's Lily is far too worldly and intelligent to be as naive to the myriad red flags as she is. The relationship between the two key characters lacks any real depth, and instead feels like superficial lust between two beautiful people rather than any kind of love. The result is a series of scenarios that meander between the implausible and the downright peculiar, without ever really convincing.Lively's casting has been the source of some controversy. Her character would undoubtedly be more convincing if she were 23, as in the book, rather than in her late thirties. One is forced to wonder what she's been doing in her adult life up to the point she randomly decides to open a flower shop in Boston, and how all that life experience has apparently failed to prepare her for dealing with a hunky neurosurgeon with anger management issues.Still, for all its failures, the film offers plenty of value. In particular, it forces the audience to consider some key issues, such as how even the most intelligent people can blind themselves to the reality of their existence. It offers plenty of talking points, and promotes a debate that shows no signs of going away. The secondary cast, led by Jenny Slate's entertaining Allysa, is generally engaging and amusing, the production is slick and the set-pieces are well-executed.In short: it's not a great movie, but go see it anyway.",3
nfyg,"***NO SPOLIERS*** Go Ahead and ReadVery good adaptation of the film. Only downside was that the time line was abit off in comparison to the book, and also quite a few key details from the book which were missing. Think the casting between young Lily and adult Lily was great. I liked the way that the restaurant was called something different to what it is in the book, but how they tied it all together and still made the new restaurant name have meaning g and significance to the story. Also like how they actually used a very young baby for Emmie instead of pretending a 6 month old was a new born like they usually do in films :)",4
woodythegent,"You go into these types of films with certain expectations of silliness...these films are usually about as realistic as a Star Wars movie, but this one is particularly ridiculous. 3 beautiful physical specimens so wracked with angst and emotional baggage that they can't utter a word or make an expression without the weight of the world coming out. All single, all brilliantly successful, all physically gorgeous, BUT OHHHHHH THE ANGST!!!!!! THE UTTER PAIN OF EXISTENCE!!!!Sorry, but life life bears absolutely no relation to this movie. Start to finish the movie is trite, overly predictable, and overacted to the point where the scenes start to look like a final exam in acting school. It might be worth watching on cable, but it is too forgettable to waste money on in a theater.",2
paulmccomas,"In truth, I'd give this film 8 stars (my main complaint: too much non-diagetic music) -- but I'm giving it 10 in attempt to boost its overall rating, given that a lot of reviewers here JUST. DON'T. GET IT. You want the abuser to be irredeemably, 100% evil? To have HORNS growing out of his head? Not to excuse abuserd -- far from it! -- they actually DON'T have horns, and typically they've been through major trauma. This vertaily doesn't excuse their behavior, but perhaps it helps *explain* it. This film bravely wades through gray areas but still reaches the correct conclusion. Fine performances all around -- particularly from the actresses who portray BOTH Lilies.",5
gaaduunpaamaai,"This movie was so slow. Took so long to get to the point and, despite being over 2 hours long, lacked content.There was a plot there that may have been interesting had they just gotten to the point instead of this super slow progression.There was something off about this movie that made it hard to watch. And I'm not sure if the off thing was that the characters were just really horribly written, or that the acting was just terrible. But the characters were annoying and hard to watch.I went to see this because I had read All Your Perfects which was an okayish book but far from the best thing I've read this year.I decided to watch this before reading the book so I wouldn't annoy other people in the theatres getting mad at all the book to movie errors.",3
marisol_fc,"I knew this movie was going to be bad , but I didn't expected this level of bad , Blake Lively was an odd choice for this, her acting consist of saying yeah, followed by fake laughter and lip bitting followed by bad acting, the story gets boring really quickly and no amount of promotion and flowery dresses can make this appealing, there is ridiculous dialogue and her name is Lilly blossom bloom, that should tell you everything about the tone for the movie, also did she style her wardrobe her self? The outfits look like Carhartt sponsored the movie, wearing ridiculous overalls and excessive jewelry all the time, is this all in the book? How did they managed to make everything look so forced and out of place is beyond me.",0.5
reamaboucharaf,"I feel like this is one of those movies where I didn't necessarily have any problems with it, but still underwhelmed me a bit. Blake's acting was a little off at times, especially during the quirky-conversation scenes.I haven't read the novel so I can't critique the accuracy of this adaptation, but I know that those outfits were incredibly distracting, and kind of made the character feel a bit forced.Also I don't know if this is a hot take bc I don't want to be insensitive to DV victims/survivors, but I feel like the intense scenes weren't giving enough. It was enough for me to understand, but not to feel anything (in the sense that they were kind of short and surface, I didn't FEEL the urgency)I am typically a crier and I'm shocked this movie didn't get a tear out of me.I think this movie is good, but just that. It's kind of lacklustre and it just really felt like something was missing.",3.5
electra_opyrchal,"This movie was everything, how can so many of you be soooo unhappy/judgemental about it. Social media sucks the things so many women are saying about the movie just shows you guys will find anything! We should be uplifting and supporting this film and the actors not tearing women down because they missed this or they dress the character weird or her hair is wrong or i heard a girl say "" she looked so dusty and old"" like what??? How is that okay? I understand the book may not be exactly reflected but it was honestly soooo on point in my eyes and we should learn to be accepting i absolutely loved it the script was on point i loved lilys character i loved atlas and ryle and i just think the way social media is portraying the movie right now it will scare them into not making it a sequel and i cannot have that at all! Anyway i really hope they ignore all the negative nancies and make it starts with us because i would do just about anything to see that in my lifetime, lets find a way to be grateful we finally got <3.",5
iamianiman,"It Ends With Us really takes its time to build the story and let us get to know the characters, which is honestly one of its biggest strengths. The structure is solid, keeping us in the loop about Lily Bloom-her love life, how she met her best friend, and her past. The movie really makes you feel like you're on a journey with Lily, seeing the world through her eyes. It's her story, her POV, and that's what makes it so engaging. Sure, it can feel a bit slow at times, but the way Lily's life unfolds and how she handles everything kept us hooked.The main theme of the movie doesn't really kick in until the second half, but that buildup is actually kind of awesome. By the time it gets there, Lily and Ryle's relationship is already so developed that everything that happens after hits even harder. The deeper you get into the story, the more interesting it becomes. It's like a slow burn that just keeps getting better as it goes along.It Ends With Us also does a great job as a character study, especially for those who have gone through domestic violence and abuse. It gives a realistic look into why some women stay in abusive relationships, answering those tough questions like, ""Why doesn't she just leave?"" or ""Why not go to the police?"" It's eye-opening and gives you a new perspective on those tough choices.One thing we loved is how the movie balances Lily's relationships-not just with Ryle, but with her mom, her best friend, her best friend's husband, her ex, and her dad. Each character has a big impact on her life, both the good and the bad, making the story feel well-rounded and real.And let's talk about Lily Bloom herself. She's just so relatable-she loves flowers, enjoys dressing up, and has that elegant yet slightly shy vibe. By the end of the movie, she has this powerful, empowering moment that's all about breaking free and owning her life. It's one of those scenes that just makes you want to cheer her on.Now, on to some of the misses. The casting didn't really hit the mark for us. The actors don't quite match the characters we pictured from the book. If you imagined someone like Theo James as Ryle or Logan Lerman as Atlas, you might be a bit let down. The casting feels a little off, and that takes away from the authenticity.Another letdown was the costuming. The outfits didn't capture Lily's style the way the book described. Instead of that chic, ""less is more"" vibe, her wardrobe in the film felt kind of chaotic and uninspired. It just didn't do her character justice, and that's a shame.When it comes to the heavy themes of domestic violence and abuse, the movie handles it with care. They kept it minimal and avoided going graphic, which we respect, but that subtle approach might leave some viewers feeling like the message wasn't strong enough. Compared to more intense local shows, It Ends With Us might seem mild, but that doesn't mean it's any less important. We just wish they'd pushed it a bit further to make Lily's decisions pack more of a punch.In the end, It Ends With Us had the potential to be something even more powerful. It could've gone beyond the typical melodrama and really delivered stronger messages. They had the chance to switch things up, maybe even mix in some lighthearted moments like Parasite did before hitting us with the heavy stuff. But that opportunity wasn't fully taken, and the message ended up feeling a bit watered down.Verdict: It Ends With Us blossoms with compelling storytelling and nuanced character arcs, gracefully navigating the thorny issues of domestic violence and trauma. It offers a thoughtful character study of those who have endured such harrowing experiences. However, the casting and costume design wilt under scrutiny, missing some of the vibrancy that fans of the best-selling novel might expect. Despite not fully blooming into its potential, the film still delivers a bouquet of empowering moments, making it a must-watch, especially for women.",3
jessam-74363,"Justin Baldoni did an incredible job as Ryle Kincaid, I had never seen any of his acting roles before and I was blown away. He really aligned well with the character from the book! His portrayal of Ryle was incredibly balanced, you loved him at times, you were shocked by him at times.That said the fashion in this movie was very distracting, I love Carhartt as much as the next person, but it was beginning to feel like a paid sponsorship! It's been said that Ryan Reynolds always plays Ryan Reynolds in his films, so it was of no surprise that he wrote the roof top scene because it felt very much like Blake Lively playing Blake Lively.All in all, very comparable to the book!",4
prasadgollakota,"Could so easily have been on the wrong side of contrived, but this adaptation was well done. Casting was spot on. Chemistry worked well between the 2 sets of leads.One significant aspect which was conveyed well was that there is a story that underlies the behaviour of a perpetrator of violence. And whilst our initial reaction is to simply judge the action -- and there must absolutely be punishment -- we dont make progress without understanding why this happens and addressing root causes. The movie doesnt get into this but it doesnt need to. Violence is complicated and the movie does depict this.The most significant theme is the movie provides a model for how females should handle being in such situations. Easier said than done of course.And this leads to the only bit which was a bit unrealistic; how the situation was resolved. Seemed a bit swift and quite neat with a happy ending. Reality as most victims will know is things arent this neat.",3.5
shubhamkulkarni32,"I don't understand what's the FUD about this movie but boy I just got irate after the first hour. There is no character development, no concrete story line, no real love story. You don't feel anything for the characters.I mean this whole movie could have been a 10 liner script. The movie tries to be appealing in some sort of a sexual way but no, it doesn't work out.Definitely won't recommend to watch in theatres. I guess there are fans of the book who might see a deeper meaning in the plot but for the rest of us, it is utter waste of time.Please save your time and don't watch even if someone offers to show it to you for free.Not a love story, not a romantic movie, doesn't hit home.",1
lyndaunderwood,"Great film--loved the book and was thrilled at how true to it this movie stays. Acting is incredible. You'll definitely run through the gamut of emotions while watching this. It's sweet, sad, tense, raw, and just truly REAL. Blake Lively was perfectly cast as Lilly. She has great chemistry with Brandon Sclener and Justin Baldoni ......and she and Jenny Slate have such great connections playing friends, coworkers and in-laws! If you're a fan of the book, you must see it. If you've never read the book, you must see it. Fun, eclectic wardrobes and awesome soundtrack just make the movie even better. Of course Boston is a pretty great backdrop too!! Loved it!",5
pdean-49132,"Went into this movie without having read the books and not a lot of expectations because it seems that book adaptations that stay true to the source material and also, end up being good are a rarity . This was the exception . Good acting , good story , now makes me want to go read the book . The first 30 minutes I didn't think I was going to like it but gradually got better and better and i honestly cared about the characters . The actors all did good in their roles . Not to go off topic but in our theater the ac broke and it was 80 degrees the entire movie (not exaggerating) and for me to still like the movie after leaving the theater drenched in sweat speaks volumes . Solid 7/10.",3.5
Murphaliciouss,"I've read the book before seeing the movie. I did enjoy the movie, but it was terribly whitewashed for some reason. Although you could see the passion between Lily and Ryle, it did not fully delve into the dark side of their romance which I felt did an injustice to the book. The magnet, the books, the absolute cruelty of Ryle's behaviour whilst he was racked with his demons and Lily's trauma of her reliving her parents relationship was glossed over for what? A PG rating? I understand the movie only has limited time, but it could've been a much more powerful message but missed the mark. I must admit Justin Baldini was spot on as Lyle.",3.5
jamiemcpherson-78878,I had not heard of the novel this is based on but I like ( a little more than like) Blake Lively as although she is stunningly beautiful she is a very fine actor.I had also not heard of the lead/actor director and wow is he a good looking man who can also act.I said to my partner after coming out who also thoroughly enjoyed it 'imagine going through life' looking like that ( him & her) a definite unfair advantage and then talent on top.I guess if I had wanted too I could have guessed most of the plot and the meetings or re connections but I don't care. I went to a Cineworld in the UK who are struggling financially at the midday ish showing on a hot Sunday and I absolutely loved the movie and although sad and covering a difficult subject matter I left the cinema thinking yes that's what I want to see more of not robots that turn into cars or super heroes who can't die and then if they do they come back to life.The very best movies are about stories and characters that you care about and I liked the story and loved the characters.I thought the whole cast was excellent but the two lead actors were fantastic and totally made the movie a big box of tissues experience.I have since read about infighting between the cast and the Director with Blake wanting to take the movie in a different direction with the author on her side but you couldn't tell from the intimate scenes and the chemistry on show but hey I guess that's good acting.Anyway with cinema dying a little this is the type of movie I want to see like The Holdovers an absolute gem of a movie that moves you and makes you feel alive so congratulations to all involved and I hope if the rumours are true you can all start following each other again.,4.5
ilmoonz,"I didn't love it or hate it.Would i watch it again?Nope.Would i recommend it?Only if you're interested because of the famous book.Now, let's break the movie down without spoilers..
I went to the movie from word of mouth about the book being a bestseller.Blake lively is a good actress but i felt zero chemistry between her and the male main character (who also happens to be the director of the movie)I got bored about 30 mins in.. my sister kept reminding me that blake lively is actually pregnant while filming this movie and how she's managing to hide her baby bump..The movie was a bit dull but i won't say it was terrible oh no.. it was watchable and made me want to read the book to compare..Hope you enjoy it!",3
kailanibass,"As an avid reader who has navigated the often treacherous waters of page to film adaptations, I've encountered my fair share of disappointments. Colleen Hoover's 'It Ends with Us' is a novel I hold close to my heart, so naturally, I approached its movie adaptation with both excitement and apprehension. I feared the film might not do justice to the powerful emotions and intricate character dynamics that made the book so compelling. There were some details missing, many details that I found important and had hoped to see in this movie BUT to my pleasant surprise, the movie not only met but exceeded my expectations; not every film adaptation can be exactly like it's book, right? In my opinion the filmmakers have crafted a beautiful adaptation that, although not perfect, does captures the essence of the story and its characters. Much like the novel, the film strikes a delicate balance between sadness, hope and humor, drawing viewers into the emotional whirlwind that defines Lily's journey. The performances were heartfelt and you can feel that, the direction sensitive, and the screenplay stayed true to the heart of CoHo's work. The movie is not just a retelling but an experience that resonates deeply, much like the book did. I found myself fully immersed in the story all over again, and I will definitely be watching it again. Here's hoping we get to see an adaptation of 'It Starts with Us' in the near future!",4.5
emmarocksmorethanyou,I was pleasantly surprised with this film. I thought Lively performed well and was able to pull off the role. I thought the film took the subject matter seriously while not being too dark at the same time. I have not read the book but I thought the movie it was a decent watch. I would watch it again if it was free and just playing on the TV. The soundtrack kind of bothered me at times and I felt like it didn't fit the scenes. I laughed out loud when Skinny Love was played. Why are we still using that song in 2024? Anyway.... much better than I thought it would be. Shame the cast had such a hard time with the press.,3
ohgabrielle,"Not only was it the most boring movie i've ever watched, but the main actresses acting is not great, her outfit choices were incredibly distracting, the message of DV was not even there and it was a poor portrayal of real life DV.I did not read the book but the person I want to see the movie with did and even they were shocked at how horribly done this movie was. The setting for the movie was good and the other actors did an amazing job. I really hope they don't waste people's time with the sequel. If they do I won't be watching. This could have been done way better with a better lead actress and better writing/styling. I want my money back.",0.5
Anurag-Shetty,"It Ends with Us is based on the novel of the same name, by Colleen Hoover. Lily Bloom(Blake Lively) gets through her traumatic childhood & starts a new life. She meets a neurosurgeon named Ryle Kincaid(Justin Baldoni) & sparks fly. However, Lily realizes that there are some aspects of Ryle that make her think about her parents' relationship.It Ends with Us is a phenomenal film. Director & actor Justin Baldoni pulls the perfect double duty & has given us a movie that's romantic, emotional, charming & also captures the dark elements of Colleen Hoover's source material, perfectly. There are several scenes that will make you tear up or shed a tear or two. The performances are the highlight of the film. Blake Lively is the star of the show, as Lily Bloom. Lively steals the show in every scene she's in, with her awe-inspiring performance. Justin Baldoni is brilliant as Ryle Kincaid. Jenny Slate is fantastic as Allysa. Hassan Minhaj is good as Marshall. Brandon Sklenar is spectacular as Atlas Corrigan. Isabela Ferrer & Alex Neustaedter are amazing as Young Lily Bloom & Young Atlas Corrigan, respectively. The supporting cast is impressive. It Ends with Us is a must watch for fans of romantic dramas. It will break your heart & mend it by the end so, it's a rollercoaster ride of emotions that's definitely worth taking.",5
omallieharp,"There have been countless think pieces and viral trends centered around discussing everything from the onset behavior of It Ends With Us' principal players to the way the film depicts domestic violence; unfortunately, all of the commotion created an audience much larger and more robust than the material deserves.Underneath glowing lights, bright colors, and an aggressively modern soundtrack, there's a very lazily told story of a flower shop owner named Lily Blossom Bloom and the whirlwind relationship she finds herself in with a neurosurgeon named Ryle. Over time, Lily discovers aspects of Ryle's personality that remind her of the way she watched her late father treat her mother up until his death.The one element of the film that I genuinely appreciated from an artistic perspective were the early editing choices that make Lily into an unreliable narrator. I did not read the full book so I am unsure if that was a decision made prior to Justin Baldoni's vision, but I really felt like it made Lily's rose-colored glasses and internal gaslighting more understandable.I attended the movie with my friend who is a DV survivor and I trust her perspective on that experience far more than any of my own so I will include the following: To It Ends With Us' credit, my friend said she hadn't seen many movies or shows that represented the type of relationship she used to be in at all and that IEWU ""felt very familiar.""However much I appreciate having a film with the message that you can always be the one to end an abusive cycle (even saying so in the title), I cannot firmly say that I think that It Ends With Us is entirely responsible. Most of my gripes with IEWU are rooted in the marketing and promotion, but two things are missing from the actual run time that would significantly reduce my suspicions that something is off about this whole production.That would be the decision not to warn any of the women in the audience of the potentially triggering content on a screen before the film and the further decision not to offer resources to any of the women in the audience who may be the real life Lily Blooms of the world. Reckless and selfish marketing willing to risk the mental health of the audience members the ""messaging"" seems to champion will never draw me in or ever come off as edgy.At the end of all of this and the social media firestorm, I'm left wondering who this movie was even made for, if not other Lily Blooms? And if it really was made for Lily Blooms, why has so little care gone into their experience with the film? I just don't buy it.",3
bvzzwdsdp,"The film adaptation of Colleen Hoover's It Ends With Us closely mirrors the book's flaws, which itself suffers from a lack of depth and originality. Tailored for a younger audience drawn to superficial trends, the narrative loses much of its impact on screen, retaining teenage clichés and uninspired dynamics. Both the book and the film rely on worn-out tropes common in countless forgettable chick flicks and teenage dramas. Although the story's attempt to address the critical issue of domestic violence is sincere, it is treated superficially and lacks the necessary depth. The cast's performances fail to bring the required nuance to the material, resulting in a film that exemplifies the unfortunate trend of giving undue attention to productions of mediocre quality.",1
johnalagoz,"It Ends With Us is a 2024 romantic drama film based on the best selling novel of the same name and stars Blake Lively as Lily Bloom, who starts a relationship with a neurosurgeon that isn't as charming as you expect to be. Then things start to take a downward spiral when a former lover of Lily's works at a restaurant and then the now husband neurosurgeon starts to get angry and then the film starts to go full throttle.The good thing about this film that really starts to be promising is it's atmospheric build up to scenes that in, most romantic movies, are unconvincing acting-wise but It Ends With Us doesn't have a problem with it's realistic portrayal of domestic abuse and sexual assault that are actually well handled and realistic of caring individuals around the protagonist that makes for uncomfortable, but powerful viewing.Lot's of aspects and actual humane body language is enough to make this quite a different watch from most of the films in the cinema now and it's most certainly a impressive achievement and my respects to all the crew involved. So why is this flawed? Unfortunately the film is very rushed and unfinished. While this might be hard to capture with a film that has a fairly long runtime of just over 2 hours, it's a really big hole to the film's already impressive résumé so I found this quite disappointing. The wedding is literally just 2 seconds and then the film skips years later and that's what I really don't like is that pivotal scenes lack any sort of background regarding the events that take place on a screen.Also the neurosurgeon (who's played by the film's director) is very wooden and out of place. He's one of those copy and paste generic handsome ooh lala boys that have no acting range and he was very cliché in general. I much preferred the other guy who actually has some sort of presence and he has great chemistry with our protagonist, and same with the rest of the supporting cast.Overall while having it's downsides, It Ends With Us is certainly a interesting film that had me entertained and it pretty much succeeds most of my expectations, which I can't say much for romantic movies.Grade: A.",3
tammybose,"After reading some reviews on this one before heading to the theater i had low expectations, but they were proved wrong. The story flowed well and each scene was compact with nothing more needed and nothing less, to move tge story along. Blake's acting was excellent and i felt her fear vividly. The male lead i had seen in Jane the Virgin series and i thought he portayed the role well, I went back and forth between live and hate repeatedly. The movie asks a question that is relevant for all of us: Why do we stay with, and sometimes even marry, people who hurt us? A rarely told theme and the message at the end we all need to hear.",4.5
rgkarim,"LIKES:Beautiful AtmosphereFantastic ActingGreat Setting To Play InHandles the Material TastefullyLiked the Transition PointsPacing Is GoodEmotionally FulfillingDISLIKES:Sort of UnderwhelmingFeels A Bit ScatteredPace Gets UnevenI Feel There Was More To Be ToldThe Ending Is Mixed For MeThe VERDICT/SummaryA story like this will be one of reflection, inner beauty, and some spiritual lifting that will be an anchoring point for the audience. Baldoni's direction accomplishes a lot of the latter, unleashing a torrent of beauty in the movie's atmosphere in cinematography, sound editing, and design. Fantastic acting by the leads with good writing helps to emphasize the strength that comes from trials, utilizing both verbal and nonverbal styles to convey the suffering that arises with trauma such as this. Lively in particular just handles things with such class, working with the book's story to handle the material tactfully, even though there were more avenues to explore regarding domestic violence. The rest of the cast accomplishes much, Slade being supportive but silly, while Baldoni plays his antagonistic role with confidence, build, and believable behaviors of such an abuser. I found the pacing good, the transitions between past and present helping to break up the story into elements that are slightly happier with their young cast acting solidly to explain Lily's story. Together, all of this combines into a movie that is very emotionally fulfilling and left many in my showing crying at the spectacle they witnessed. Though I might be a robot, I have to give my nods for the poetic journey they took us on in the two-hour runt time.For the spiritual grace success, the story however took hits for me in this movie. I have not read the book, but I feel much of the content was lost in the translation to the silver screen. Despite a good pace, the movie does feel uneven at times, dragging during the setup moments only to quickly fly over the intense moments. I felt a bit robbed that some of those challenges seemed overcome and simplified in this film, never truly feeling the struggle that comes with such moments in life. Much of the transitions were good for me, but then sort of petered off with the memories at the end practically gone, and very disappointing to not see more with the build-up from the earlier moments. The organization also felt a bit scattered at times, with a linear story to follow, but at the same time inconsistently executed and felt difficult to perfectly outline everything in their lives that a book has so much more time to organize. Again, I could follow the story for the most part, but it did not have the full kick and emotion that this movie so amazingly captured. So many events just sort of happened within the confines of the movie runtime, especially at the end, which felt too hasty, underwhelming, and a tie-off that again made me feel cheated.Overall, the movie was fine for me, enough beauty and emotional fortitude that a night out with a group of friends, a girls' night, or some sort of church/organization meeting would be the ideal audience for a theater visit. Though, in terms of story, the book is most likely the avenue to take to get the full impact of this taxing tale and content. From all of these components, my scores for the movie are:Drama/Romance: 7.5
Movie Overall: 6.5.",3.5
ialbufalah,"2 boring hrs of no dialog!! Just cheesy romance thats 90% sexual ( i dont even know why and how they fell in love)! Terrible terrible. Just because the idea is about abusement DOESNT MAKE IT DEEP.Every now and then I hoped that some event is gonna happen that's gonna twist the story. I have no idea why is this movie two hours? And not even one good dialogue or one good deep conversation.If you wanna know how cheesy is the movie, just by the actress name: Lilly Blossom Bloom, and she owns a flower shop. SERIOUSLY? I cant. That's beyond lame.Anyway, no good comes of nowadays best seller fictions.",0.5
kjlm-38806,"Reading the book I loved the concept of what the film portrays, without spoiling the idea of perspective on a situation and how being in love can completely change it.I loved the cast just starting off with that, how Blake lively has such a powerful kind of beautiful vibe to her showing off truly in the film. Then jenny slate plays a perfect best friend roll, seeming so supportive at it all.I think TikTok overhyped this film a lot for me unfortunately, people saying how it shifted there perception of relationships but I didn't get that from it. But I do love the story it's painted getting traction to things that people don't realise happened often.Lastly, I love talking about the cinematography in films and this film itched my brain in the perfect way, with the shots being so beautiful but stretching from incredible skylines to breathtaking landscapes, the only side of the cinematography I wasn't a huge fan of was the kissing as a man who doesn't love pda it's probably one of the first films of this category I've watched in public and imo I won't do it againOverall a great watch.",4
sschmid-29739,"A romantic drama which works well in cinema.. There's no need to wait for it, to be watched at home..I am not a huge fan of Lively, but.. although not an Oscar performance, she surprised me here... very well and emotional acted.It was no surprise that the cinema was filled with women, only 2 guys who were probably dragged along by their girlfriends.All in all a good, entertaining watch, with very decent actors. Not sure about ""Atlas"" though..
I did not read the book, but films usually tend to disappoint if they are based on one.With the exception of Bridget Jones of course 😉.Enjoy !!",3.5
camillecalderon-90715,"Don't waste your time going to see this movie! It's just a huge waste of time!I didn't read the book but I was aware it was a movie about domestic violence so was expecting something quite deep, yet the characters and story line have no depths to them whatsoever.The acting also didn't help, I know Blake Lively from Gossip Girl and throughout this movie she was just portraying the exact same character as in Gossip Girl...! The story in itself is also very romanticised, I guess to make it a little lighter but it's a shame because they had the opportunity to do something significant about an important topic and completely missed the mark!",0.5
jp_91,"""It Ends with Us"" is a dramatic-romantic film that manages to provide a strong message against domestic violence. The script, based on the novel of the same name written by Colleen Hoover, is tremendous, being emotional and raw. Justin Baldoni does a daring job as director and actor, while Blake Lively is moving and sympathetic, masterfully taking her character to different emotional states. The cast also includes Brandon Sklenar giving a charismatic character, and Jenny Slate with a friendly and fun character. The cinematography is spot on without being jaw-dropping. The editing work is excellent, it wonderfully mixes the past and present of the main characters, giving a perfect audiovisual narrative to the script. ""It Ends with Us"" is a great movie with a positive and direct message for both women and men.",5
geancarlocalderonr,"It's obvious this wasn't the director's cut, as has been publicly acknowledged. However, the message and the heart behind it were still conveyed. We can break the cycle of abuse, starting with ourselves. The acting was decent, and the cinematography was average, but the message is strong and almost clear, except for some cheesy lines that, according to Blake Lively, were written by her husband.While ""It Ends With Us"" is often praised for its raw portrayal of domestic abuse, the romantic elements in the story feel overly dominant, sometimes overshadowing the critical message the book is trying to convey. The narrative delves deeply into the complexities of love and relationships, but in doing so, it occasionally loses sight of the more pressing issue of domestic abuse.",3.5
prettymuchalways,"The film is an important one, of course. I think anything that exposes violence against women and gets people talking, is important...Firstly, the Positives:
The overwhelming positive for me was actually kind of life-changing, and deeply personal, but maybe for others also. The napkin. The eulogy. Five things you loved about your father. I'm 45 and have been carrying my whole life the fact that my father loves nothing about me. He admitted as much in a family counselling session when I was in my twenties, but it has been a known fact in my family for my whole life, and a defining aspect of my life and my personality I think, that neither my father or mother loves anything about me.It's always been about that. Always. About how I am the problem. I am unlovable. I almost can't believe that it's taken a romantic movie for me to realise that, hang on, what do I love about him?? Why has that not been a question asked by me or anyone else? Why has it only been *my* loveability that has always been questioned, in my mind and in theirs, even other family members that pretend they don't take sides. Wow. Mind blown.The negatives: husband is portrayed as a victim. I felt for him with his history of course, but it did feel like he just walked away from his crimes.Just my view. Others might be more appreciative of the ""balanced view"" of violence against women. Perhaps that was the aim - to be more palatable and appealing to the ""not all men"" crowd.The other negative I felt was how neatly it ended with him just leaving the room calmly.I'm sorry, but, as if.Not all men, but always men.",3.5
